,year,CO2,CH4,N2O,CFC11,CFC12,solaire,chlore,GHG
85,1850,284.725,790.9792,275.4251,0.0,0.0,1360.9896,480.0,0.2732954072
86,1851,284.875,792.25,275.5,0.0,0.0105,1360.9942,480.1037,0.2781296378
87,1852,285.0,793.75,275.6,0.0,0.0316,1360.9148,480.3111,0.2825231095
88,1853,285.125,795.25,275.7,0.0,0.0527,1360.8053,480.5186,0.2866533925
89,1854,285.275,796.75,275.8,0.0,0.0738,1360.6823,480.7262,0.291250213
90,1855,285.425,798.0,275.9,0.0,0.0948,1360.604,480.9338,0.2956271549
91,1856,285.575,799.25,276.0,0.0,0.1159,1360.6065,481.1412,0.3000012526
92,1857,285.725,800.75,276.1,0.0,0.137,1360.7154,481.3486,0.3045893158
93,1858,285.9,802.25,276.2,0.0,0.1581,1360.9076,481.5562,0.3096422069
94,1859,286.075,803.75,276.3,0.0,0.1791,1361.1247,481.7636,0.3146917793
95,1860,286.225,805.25,276.4,0.0,0.2002,1361.1909,481.971,0.3192701445
96,1861,286.375,806.75,276.5,0.0,0.2213,1361.0818,482.1786,0.3238454457
97,1862,286.5,808.25,276.6,0.0,0.2423,1360.932,482.386,0.3279954724
98,1863,286.625,809.75,276.7,0.0,0.2634,1360.8486,482.5934,0.3321873859
99,1864,286.775,811.25,276.8,0.0,0.2845,1360.7865,482.801,0.3368434325
100,1865,286.9,813.0,276.9,0.0,0.3056,1360.6963,483.0086,0.341244427
101,1866,287.0,814.75,277.0,0.0,0.3266,1360.633,483.216,0.345176274
102,1867,287.1,816.25,277.1,0.0,0.3477,1360.5809,483.4234,0.348891414
103,1868,287.225,817.75,277.2,0.0,0.3688,1360.7401,483.631,0.353070137
104,1869,287.375,819.25,277.3,0.0,0.3898,1360.9756,483.8384,0.357712047
105,1870,287.525,821.0,277.375,0.0,0.4108,1361.2134,484.045,0.362478861
106,1871,287.7,822.75,277.425,0.0,0.4318,1361.1535,484.252,0.367622433
107,1872,287.9,824.25,277.5,0.0,0.453,1361.107,484.46,0.373110462
108,1873,288.125,825.75,277.6,0.0,0.4741,1360.9067,484.668,0.379154772
109,1874,288.4,827.25,277.7,0.0,0.4952,1360.7787,484.876,0.38612228
110,1875,288.7,829.0,277.775,0.0,0.5163,1360.6306,485.084,0.39367382
111,1876,289.025,830.75,277.825,0.0,0.5385,1360.5805,485.302,0.401595962
112,1877,289.4,832.25,277.9,0.0,0.5623,1360.5808,485.536,0.410308229
113,1878,289.8,833.75,278.0,0.0,0.5872,1360.5522,485.782,0.419557404
114,1879,290.225,835.25,278.1,0.0,0.6134,1360.5746,486.04,0.429256011
115,1880,290.7,837.0,278.2,0.0,0.6407,1360.7208,486.308,0.440072979
116,1881,291.2,839.0,278.3,0.0,0.6691,1360.8645,486.588,0.451544261
117,1882,291.675,841.0,278.4,0.0,0.699,1360.8878,486.882,0.462558201
118,1883,292.125,843.0,278.5,0.0,0.73,1360.9347,487.188,0.473116284
119,1884,292.575,844.75,278.6,0.0,0.7623,1360.8369,487.506,0.48345039
120,1885,292.975,846.25,278.7,0.0,0.796,1360.7277,487.838,0.492648417
121,1886,293.3,848.0,278.8,0.0,0.8314,1360.563,488.186,0.500675302
122,1887,293.575,850.0,278.875,0.0,0.8684,1360.5197,488.55,0.507906425
123,1888,293.8,852.0,278.925,0.0,0.907,1360.4844,488.93,0.514135243
124,1889,294.0,854.0,279.0,0.0,0.9472,1360.4561,489.326,0.51998842
125,1890,294.175,856.0,279.1,0.0,0.9892,1360.4906,489.74,0.525467273
